trial_num,answere,response,clicks,correct,time_start,time_end
0,1|8,1|8,2,True,1626071891.9721193,1626071895.8182364
1,2|7,2|7,2,True,1626071900.4231353,1626071903.5941813
2,2|5|6,2|5|6,3,True,1626071909.2069225,1626071913.1478283
3,1|4|7,1|4|7,3,True,1626071918.747777,1626071923.6210978
4,2|3|4|7,2|3|4|7,4,True,1626071930.19348,1626071934.442309
5,3|5|7|8,3|5|7|8,4,True,1626071941.023717,1626071945.1300752
6,1|3|5|7|8,1|3|5|7|8,5,True,1626071952.74387,1626071958.386524
7,1|3|4|7|9,1|3|4|7|9,5,True,1626071965.947872,1626071971.602612
8,1|2|5|6|7|9,1|2|7|6|9,5,False,1626071980.1507878,1626071985.370691
9,1|2|5|6|8|9,1|3|5|4|8|9,6,False,1626071993.9343455,1626072002.3058462
