trial_num,answere,response,clicks,correct,time_start,time_end
0,5|6,5|6,2,True,1625811541.8664546,1625811545.3323176
1,6|7,6|7,2,True,1625811549.9296038,1625811552.6523178
2,3|6|7,3|6|7,3,True,1625811558.2546558,1625811562.8884535
3,1|6|9,1|6|9,3,True,1625811568.4726012,1625811572.588672
4,5|6|7|8,5|6|7|8,4,True,1625811579.1988485,1625811584.8459053
5,4|6|7|8,4|6|7|8,4,True,1625811591.4033866,1625811596.8606637
6,2|4|6|7|8,2|4|6|7|8,5,True,1625811604.4390323,1625811612.060447
7,1|3|4|6|8,1|3|4|6|8,5,True,1625811619.6139781,1625811626.1658716
8,2|3|4|5|6|7,2|3|4|5|6|7,6,True,1625811634.7799482,1625811641.5886269
9,1|2|4|5|8|9,1|2|4|8|5|9,6,False,1625811650.1512086,1625811657.4965448
10,1|3|4|5|6|7|8,1|3|4|5|6|8|7,7,False,1625811667.0568671,1625811674.9242544
11,1|3|4|5|6|8|9,1|3|4|5|6|8|9,7,True,1625811684.4592085,1625811692.5250688
12,1|2|3|4|5|6|7|8,1|2|3|4|5|6|8|7,8,False,1625811703.0889168,1625811711.908602
13,1|2|3|4|6|7|8|9,1|3|4|2|6|5|7|8,8,False,1625811722.4359648,1625811735.3783705
