trial_num,answere,response,clicks,correct,time_start,time_end
0,7|8,7|8,2,True,1626149696.8257973,1626149700.6965318
1,5|6,5|6,2,True,1626149705.3095572,1626149709.2727811
2,5|7|9,5|7|9,3,True,1626149714.8687716,1626149719.3371003
3,4|5|7,4|5|7,3,True,1626149724.9105399,1626149729.0936236
4,1|3|6|8,1|3|6|8,4,True,1626149735.6871474,1626149740.632721
5,4|5|8|9,5|4|9|8,4,False,1626149747.1963725,1626149753.6736572
6,1|3|6|8|9,1|3|6|8|9,5,True,1626149761.2600853,1626149769.8250647
7,2|4|7|8|9,2|7|8|9,4,False,1626149777.383144,1626149784.1006408
8,1|3|4|5|6|7,1|3|5|4|7,5,False,1626149792.6760786,1626149798.968614
9,2|4|5|6|8|9,2|5|3|6|8,5,False,1626149807.5416956,1626149816.9369543
