trial_num,answere,response,clicks,correct,time_start,time_end
0,7|9,7|9,2,True,1626063248.502019,1626063253.7920725
1,6|9,6|9,2,True,1626063258.3960297,1626063262.7553241
2,1|6|7,1|6|7,3,True,1626063268.3660393,1626063273.155338
3,3|5|6,3|5|6,3,True,1626063278.739718,1626063283.5344045
4,2|4|6|8,2|4|6|8,4,True,1626063290.1290205,1626063295.8593907
5,2|3|4|7,2|3|4|7,4,True,1626063302.4501586,1626063308.914948
6,1|3|4|7|8,1|3|4|7|8,5,True,1626063316.469975,1626063330.387647
7,1|3|5|6|7,1|3|5|6|7,5,True,1626063337.9629545,1626063346.4585764
8,1|2|4|5|7|9,1|2|4|5|7|9,6,True,1626063355.0029829,1626063363.940945
9,1|3|4|5|7|9,1|8|3|4|7|9,6,False,1626063372.5047839,1626063387.0847695
10,1|2|3|4|5|6|8,1|2|3|4|5|6|8,7,True,1626063396.6367917,1626063408.9083607
11,1|3|4|6|7|8|9,1|3|5|4|6|7|9,7,False,1626063418.4654925,1626063434.404002
12,2|3|4|5|6|7|8|9,1|2|3|7|4|6|8|9,8,False,1626063444.938867,1626063466.436078
13,1|2|3|4|5|6|7|8,1|2|3|4|5|6|7|2,8,False,1626063476.963038,1626063492.071787
