trial_num,answere,response,clicks,correct,time_start,time_end
0,4|8,4|8,2,True,1625539963.7720697,1625539968.7145612
1,7|8,7|8,2,True,1625539973.3075755,1625539977.076204
2,6|7|9,6|7|9,3,True,1625539982.6369936,1625539987.639902
3,2|3|5,2|3|3|5,4,False,1625539993.2786915,1625539997.8743198
4,5|7|8|9,5|7|8|9,4,True,1625540004.4563615,1625540011.0906336
5,2|5|8|9,2|5|8|9,4,True,1625540017.6565754,1625540024.5065672
6,2|4|5|8|9,2|4|5|8|9,5,True,1625540032.0795062,1625540039.3465455
7,2|5|6|8|9,2|5|6|8|9,5,True,1625540046.9146082,1625540055.7145598
8,3|4|5|6|8|9,3|4|5|8|9,5,False,1625540064.2485344,1625540072.698571
9,1|3|4|5|7|9,4|4|1|5|3|9,6,False,1625540081.2865293,1625540091.357045
