trial_num,answere,response,clicks,correct,time_start,time_end
0,3|5,3|5,2,True,1626143144.3096907,1626143147.7951152
1,2|9,2|9,2,True,1626143152.3844948,1626143155.7774606
2,3|5|9,3|5|9,3,True,1626143161.3520331,1626143165.2234812
3,5|6|7,5|6|7,3,True,1626143170.80111,1626143174.8816395
4,2|3|7|8,2|3|7|8,4,True,1626143181.4514196,1626143186.4911594
5,1|4|8|9,1|4|8|9,4,True,1626143193.0775466,1626143198.2792308
6,3|6|7|8|9,3|6|7|8|9,5,True,1626143205.835583,1626143212.2217402
7,1|4|6|8|9,1|4|8|6|9,5,False,1626143219.793703,1626143229.320822
8,1|3|4|5|7|9,1|4|3|5|9,5,False,1626143237.8780565,1626143246.719369
9,1|2|3|5|6|7,1|2|3|5|7|6,6,False,1626143255.2802672,1626143263.8869467
