trial_num,answere,response,clicks,correct,time_start,time_end
0,2|6,2|6,2,True,1625444569.8567772,1625444574.4340153
1,6|8,6|8,2,True,1625444579.0600004,1625444582.6701946
2,2|8|9,2|8|9,3,True,1625444588.2388067,1625444594.042467
3,1|2|4,1|2|4,3,True,1625444599.6335378,1625444604.4194484
4,1|3|5|6,1|3|5|6,4,True,1625444610.9975412,1625444615.9407485
5,1|6|7|9,1|6|7|9,4,True,1625444622.5014057,1625444627.5222516
6,1|2|3|5|6,1|2|3|5|6,5,True,1625444635.099832,1625444643.437
7,1|3|4|5|8,1|3|4|5|8,5,True,1625444651.0006456,1625444657.4505658
8,1|4|5|7|8|9,1|4|5|7|8|9,6,True,1625444666.0090775,1625444673.0587428
9,2|4|6|7|8|9,2|4|6|7|8|9,6,True,1625444681.6096337,1625444694.7311027
10,1|3|4|6|7|8|9,4|1|3|7|6|8|9,7,False,1625444704.273963,1625444715.4789872
11,1|2|3|4|5|6|9,1|2|4|5|3|8|9,7,False,1625444725.0160456,1625444738.071922
