trial_num,answere,response,clicks,correct,time_start,time_end
0,1|8,1|8,2,True,1625467277.9106934,1625467281.3672302
1,2|3,2|3,2,True,1625467285.9606907,1625467289.6141496
2,2|6|8,2|6|8,3,True,1625467295.2141771,1625467299.8387978
3,2|8|9,2|8|9,3,True,1625467305.466142,1625467310.7721596
4,1|7|8|9,1|7|8|9,4,True,1625467317.3601875,1625467323.151131
5,1|6|7|9,1|6|7|9,4,True,1625467329.734133,1625467335.2711525
6,2|4|6|8|9,2|4|6|8|9,5,True,1625467342.815127,1625467349.9021323
7,2|4|5|7|8,2|4|5|9|8,5,False,1625467357.478114,1625467364.027128
8,1|2|3|5|7|8,1|2|3|5|9|8,6,False,1625467372.5691228,1625467380.2859445
9,1|2|5|6|7|9,1|2|5|8|6|7,6,False,1625467388.859905,1625467401.1021428
