trial_num,answere,response,clicks,correct,time_start,time_end
0,5|9,5|9,2,True,1625791903.5116763,1625791906.939636
1,1|4,1|4,2,True,1625791911.5431564,1625791914.2942488
2,3|5|8,3|5|8,3,True,1625791919.8648672,1625791923.470883
3,1|5|9,1|5|9,3,True,1625791929.0756917,1625791933.3304186
4,1|6|8|9,1|6|8|9,4,True,1625791939.9207308,1625791945.5910134
5,2|4|6|7,2|4|6|7,4,True,1625791952.1821854,1625791956.4619844
6,1|2|4|7|9,1|2|4|7|9,5,True,1625791964.039455,1625791969.071606
7,2|3|5|6|8,2|3|5|6|8,5,True,1625791976.6400776,1625791981.8231158
8,3|4|5|6|7|8,3|4|5|6|4|8,6,False,1625791990.3736804,1625791998.6622345
9,1|2|3|4|5|9,1|2|3|4|5|9,6,True,1625792007.2365422,1625792014.227968
10,2|3|4|5|6|7|8,2|3|4|5|6|8|7,7,False,1625792023.7738068,1625792033.1019754
11,1|3|4|5|6|7|8,1|3|4|6|5|7|2,7,False,1625792042.6454873,1625792050.6584437
