trial_num,answere,response,clicks,correct,time_start,time_end
0,2|5,2|5,2,True,1625447738.1967764,1625447743.4632125
1,2|9,2|9,2,True,1625447748.0642297,1625447751.8436413
2,1|7|8,1|7|8,3,True,1625447757.427524,1625447761.571318
3,4|7|9,4|7|9,3,True,1625447767.1601484,1625447771.937297
4,1|3|5|9,1|3|5,3,False,1625447778.51262,1625447782.6010184
5,1|5|6|7,1|5|6|7,4,True,1625447789.1980662,1625447793.6418228
6,3|5|7|8|9,3|5|8|7|9,5,False,1625447801.2051208,1625447809.5153966
7,3|6|7|8|9,3|6|7|8|9,5,True,1625447817.0659244,1625447823.738605
8,1|2|4|5|6|8,1|6|4|5|8,5,False,1625447832.2967541,1625447837.6145709
9,1|3|5|6|7|8,1|3|5|6|7|8,6,True,1625447846.1598709,1625447856.9065108
10,1|2|3|4|5|6|7,1|2|3|4|6|5|7,7,False,1625447866.4515338,1625447875.6949024
11,1|2|3|5|6|7|9,1|2|3|6|5|1|9,7,False,1625447885.2348485,1625447893.7810159
