trial_num,answere,response,clicks,correct,time_start,time_end
0,2|5,2|5,2,True,1626056303.5652852,1626056307.2410347
1,3|9,3|9,2,True,1626056311.8266807,1626056315.0895007
2,5|6|7,5|6|7,3,True,1626056320.669919,1626056325.1252613
3,1|2|4,1|2|4,3,True,1626056330.7258265,1626056335.492816
4,1|2|4|9,1|2|4|9,4,True,1626056342.074529,1626056347.7214358
5,3|4|5|9,3|4|5|9,4,True,1626056354.291385,1626056360.7083483
6,1|5|6|7|8,1|5|6|7|8,5,True,1626056368.2802227,1626056375.166912
7,1|2|3|6|7,1|2|6|3|7,5,False,1626056382.7426863,1626056390.8258357
8,1|3|4|5|6|9,1|3|4|5|4|1|3|4|5|6|9,11,False,1626056399.389116,1626056414.8921742
9,2|3|4|5|6|8,2|5|3|4|6|8,6,False,1626056423.4501092,1626056432.0156364
