trial_num,answere,response,clicks,correct,time_start,time_end
0,4|5,4|5,2,True,1626157908.7704296,1626157912.8965838
1,6|9,6|9,2,True,1626157917.5016317,1626157921.0642076
2,2|3|5,2|3|5,3,True,1626157926.654599,1626157929.9935598
3,3|4|6,3|4|6,3,True,1626157935.5910068,1626157939.4723876
4,1|4|6|9,1|4|6|9,4,True,1626157946.0403976,1626157950.7439854
5,1|2|3|7,1|2|3|7,4,True,1626157957.3169653,1626157961.8878143
6,5|6|7|8|9,5|6|7|8|9,5,True,1626157969.429602,1626157974.568289
7,1|2|5|8|9,1|2|5|8|9,5,True,1626157982.190293,1626157987.0005167
8,1|2|4|6|7|9,1|2|4|6|7|9,6,True,1626157995.6057172,1626158001.807553
9,2|3|6|7|8|9,6|2|3|9|7|8,6,False,1626158010.3477454,1626158017.6220524
10,1|3|5|6|7|8|9,1|3|5|6|7|8|9,7,True,1626158027.1525922,1626158035.4396155
11,1|3|5|6|7|8|9,1|4|9|8|5|7|6,7,False,1626158044.9683638,1626158056.9705312
12,1|3|4|5|6|7|8|9,1|3|4|5|6|8|9,7,False,1626158067.487365,1626158074.9052362
13,1|2|3|4|5|6|7|9,1|3|4|5|6|7|9,7,False,1626158085.4413905,1626158092.9039257
