trial_num,answere,response,clicks,correct,time_start,time_end
0,1|2,1|2,2,True,1625797363.4941485,1625797366.2524757
1,6|8,6|8,2,True,1625797370.8625188,1625797373.364816
2,1|6|9,1|6|9,3,True,1625797378.9674149,1625797383.0995765
3,2|4|8,2|4|8,3,True,1625797388.700984,1625797393.1380653
4,2|4|7|8,2|4|7|8,4,True,1625797399.7189367,1625797404.760738
5,4|5|6|8,4|5|7|6,4,False,1625797411.3346624,1625797415.9696343
6,1|3|4|5|7,1|3|4|5|7,5,True,1625797423.5474286,1625797429.0160468
7,1|3|5|7|9,3|1|5|7|9,5,False,1625797436.583127,1625797442.51157
8,1|4|5|6|7|8,1|4|5|6|7|8,6,True,1625797451.0649467,1625797456.9746373
9,1|2|3|6|7|8,1|3|2|6|7|8,6,False,1625797465.5394258,1625797471.8605273
10,3|4|5|6|7|8|9,3|4|1|6|5|7|8,7,False,1625797481.3914602,1625797489.8427749
11,2|3|4|5|6|7|8,2|3|1|4|5|6|7|8,8,False,1625797499.3806498,1625797508.0440643
