trial_num,answere,response,clicks,correct,time_start,time_end
0,4|8,4|8,2,True,1626156137.872951,1626156141.1789896
1,4|9,4|9,2,True,1626156145.7735677,1626156149.9302666
2,2|5|6,2|5|6,3,True,1626156155.4948773,1626156159.550337
3,2|5|8,2|5|8,3,True,1626156165.1189678,1626156169.4204748
4,1|4|5|9,1|4|5|9,4,True,1626156176.0169692,1626156181.260315
5,1|3|4|8,1|3|4|8,4,True,1626156187.8316796,1626156193.225215
6,1|2|6|7|8,1|2|6|7,4,False,1626156200.8526144,1626156207.1470857
7,2|3|4|7|9,2|3|4|7|9,5,True,1626156214.6921842,1626156220.644363
8,1|3|5|6|8|9,1|3|5|6|8|9,6,True,1626156229.2281425,1626156236.7450805
9,2|3|4|5|7|9,5|2|8|4|9,5,False,1626156245.277746,1626156257.8893557
10,1|2|3|4|6|7|8,1|2|3|4|6|8,6,False,1626156267.4689357,1626156274.9390175
11,1|2|3|4|6|8|9,1|2|8|4|6|8|9,7,False,1626156284.5551138,1626156292.4584756
