trial_num,answere,response,clicks,correct,time_start,time_end
0,2|8,2|8,2,True,1625553239.2949388,1625553243.234892
1,5|8,5|8,2,True,1625553247.840689,1625553251.8486848
2,2|3|9,2|3|9,3,True,1625553257.4405918,1625553262.1531613
3,1|5|8,1|5|8,3,True,1625553267.7677355,1625553272.5639796
4,1|5|7|8,1|5|7|8,4,True,1625553279.1624904,1625553284.5712292
5,4|5|6|9,4|5|6|9,4,True,1625553291.1601796,1625553296.6588676
6,2|3|7|8|9,2|3|7|8|9,5,True,1625553304.2164397,1625553310.261856
7,1|5|6|7|9,1|5|6|7|9,5,True,1625553317.846906,1625553324.690755
8,1|2|4|5|6|7,1|2|4|5|6|7,6,True,1625553333.2485466,1625553343.5635471
9,1|2|4|5|7|8,1|2|4|5|7|8,6,True,1625553352.1530566,1625553360.0517368
10,1|2|3|5|6|7|9,1|2|3|5|7|4|9,7,False,1625553369.5956585,1625553379.445613
11,2|3|4|5|6|7|8,1|2|3|4|5|7|8,7,False,1625553388.9957578,1625553398.8919275
