trial_num,answere,response,clicks,correct,time_start,time_end
0,6|9,6|9,2,True,1625465476.5648081,1625465482.3202674
1,4|8,4|8,2,True,1625465486.9312532,1625465491.8062763
2,1|4|6,1|4|6,3,True,1625465497.3772874,1625465503.8956132
3,3|6|9,3|6|9,3,True,1625465509.478268,1625465515.12722
4,5|6|7|9,5|6|7|9,4,True,1625465521.7418787,1625465528.2321992
5,1|2|4|7,1|2|4|7,4,True,1625465534.8082354,1625465541.008214
6,1|2|5|6|9,1|2|5|6|9,5,True,1625465548.6392248,1625465556.3392973
7,1|2|3|6|8,1|2|3|6|8,5,True,1625465563.905685,1625465571.0244875
8,1|3|4|5|6|8,1|3|4|5|6|8,6,True,1625465579.5943131,1625465589.447254
9,2|3|4|5|6|7,2|3|4|5|6|2,6,False,1625465598.0411978,1625465607.7279866
10,1|3|4|6|7|8|9,1|4|3|6|2|8,6,False,1625465617.2831588,1625465627.0081742
11,1|2|4|5|7|8|9,1|4|6|2|8|7|9,7,False,1625465636.5889199,1625465649.043516
