trial_num,answere,response,clicks,correct,time_start,time_end
0,2|7,2|7,2,True,1625806709.90248,1625806727.2723424
1,4|8,4|8,2,True,1625806731.8525105,1625806736.6284132
2,3|5|7,3|5|7,3,True,1625806742.2241385,1625806748.1838017
3,5|8|9,5|8|9,3,True,1625806753.7623413,1625806760.2021904
4,1|5|6|9,1|5|6|9,4,True,1625806766.8143094,1625806774.3386662
5,1|3|5|7,1|3|5|7,4,True,1625806780.9426804,1625806787.05967
6,2|4|5|6|7,2|4|5|6|7,5,True,1625806794.6259758,1625806804.0244074
7,3|4|7|8|9,3|4|7|6|9,5,False,1625806811.60665,1625806837.3406265
8,1|2|3|6|8|9,1|2|8|6|9|6,6,False,1625806845.9305367,1625806866.1585915
9,1|2|5|6|7|9,1|2|6|7|5|9,6,False,1625806874.716326,1625806886.7054627
