trial_num,answere,response,clicks,correct,time_start,time_end
0,1|7,1|7,2,True,1625459764.6555922,1625459767.0686514
1,4|5,4|5,2,True,1625459771.6676316,1625459773.9386783
2,2|8|9,2|8|9,3,True,1625459779.5276172,1625459782.7701206
3,1|4|9,1|4|9,3,True,1625459788.378589,1625459791.538598
4,2|4|5|9,2|4|5|9,4,True,1625459798.107605,1625459801.8675826
5,1|4|7|8,1|4|7|8,4,True,1625459808.4435735,1625459812.964599
6,1|2|3|8|9,1|2|3|8|9,5,True,1625459820.5485628,1625459824.8504868
7,2|3|4|6|9,2|3|4|6|9,5,True,1625459832.392577,1625459836.7946424
8,1|2|3|4|7|9,1|2|3|4|7|9,6,True,1625459845.3601027,1625459850.2315934
9,1|2|3|4|5|6,1|2|3|4|5|6,6,True,1625459858.8165731,1625459863.524586
10,2|3|4|5|7|8|9,2|3|4|5|7|8|9,7,True,1625459873.0835495,1625459878.9165537
11,1|2|3|4|5|7|9,1|2|3|4|5|7|9,7,True,1625459888.4701147,1625459894.0126388
12,1|2|4|5|6|7|8|9,1|2|4|5|7|6|8,7,False,1625459904.5515623,1625459909.620041
13,1|3|4|5|6|7|8|9,1|3|4|5|7|6|8,7,False,1625459920.1807065,1625459925.5715277
