trial_num,answere,response,clicks,correct,time_start,time_end
0,1|6,1|6,2,True,1626144794.5368896,1626144799.0298612
1,3|8,3|8,2,True,1626144803.6320298,1626144806.4068365
2,2|5|8,2|5|8,3,True,1626144811.9898298,1626144815.5342069
3,5|7|8,5|7|8,3,True,1626144821.117805,1626144824.935827
4,3|5|6|9,3|5|6|9,4,True,1626144831.5139122,1626144836.6309326
5,2|4|7|9,2|4|7|9,4,True,1626144843.2138903,1626144847.8400776
6,1|3|4|7|9,1|3|4|7|9,5,True,1626144855.4309888,1626144861.3511364
7,3|4|5|7|9,4|3|5|7|9,5,False,1626144868.9048162,1626144875.8237498
8,3|5|6|7|8|9,3|5|7|6|9,5,False,1626144884.3805976,1626144891.0438135
9,3|4|6|7|8|9,4|3|6|7|9|8,6,False,1626144899.6158416,1626144910.7727258
