trial_num,answere,response,clicks,correct,time_start,time_end
0,4|9,4|9,2,True,1626051000.1022866,1626051005.4898055
1,4|5,4|5,2,True,1626051010.1162858,1626051013.8828797
2,1|6|9,1|6|9,3,True,1626051019.4825597,1626051025.568408
3,1|5|7,1|5|7,3,True,1626051031.1684325,1626051035.8392017
4,1|2|7|9,1|7|2|9,4,False,1626051042.4155588,1626051050.7117183
5,1|3|8|9,1|3|8|9,4,True,1626051057.2782216,1626051063.0203207
6,1|2|6|8|9,1|2|6|8|9,5,True,1626051070.5830214,1626051076.9532626
7,1|5|6|7|9,1|5|6|7|9,5,True,1626051084.5281813,1626051091.187945
8,2|4|5|7|8|9,2|5|8|4|9,5,False,1626051099.7353177,1626051108.5835629
9,2|3|5|6|7|8,2|3|5|7|6|8,6,False,1626051117.1334834,1626051125.5192852
