trial_num,answere,response,clicks,correct,time_start,time_end
0,1|9,1|9,2,True,1625789812.989165,1625789816.2231362
1,2|4,2|4,2,True,1625789820.8326626,1625789823.7180543
2,5|6|7,5|6|7,3,True,1625789829.2893262,1625789833.1130214
3,2|5|7,2|5|7,3,True,1625789838.7219515,1625789842.7996159
4,1|2|6|7,1|2|6|7,4,True,1625789849.3793,1625789853.9185631
5,2|4|5|7,2|4|5|7,4,True,1625789860.4902937,1625789865.1994116
6,4|5|6|8|9,4|5|6|8|9,5,True,1625789872.7724113,1625789878.3034322
7,3|4|5|6|9,3|5|4|6|9,5,False,1625789885.8763943,1625789891.3071778
8,1|3|4|5|6|8,1|3|4|5|6|8,6,True,1625789899.8902624,1625789906.1669068
9,2|3|5|7|8|9,2|3|5|7|8|9,6,True,1625789914.7203689,1625789922.4878633
10,1|2|3|4|6|8|9,1|2|4|6|7|3|9,7,False,1625789932.0521548,1625789940.6723268
11,1|2|3|4|5|6|8,1|2|6|4|5|8,6,False,1625789950.2239192,1625789957.343473
