trial_num,answere,response,clicks,correct,time_start,time_end
0,1|3,1|3,2,True,1626058085.044182,1626058090.6966023
1,6|8,6|8,2,True,1626058095.2903013,1626058099.0563288
2,1|2|3,1|2|3,3,True,1626058104.639898,1626058109.5853474
3,1|6|7,1|6|7,3,True,1626058115.174539,1626058120.2513988
4,2|3|5|9,2|3|5|9,4,True,1626058126.8128924,1626058131.6225936
5,1|4|5|9,1|4|5|9,4,True,1626058138.2061253,1626058143.2598052
6,2|4|5|6|7,2|4|5|6|7,5,True,1626058150.8227022,1626058156.609444
7,1|4|6|7|8,1|4|6|7|8,5,True,1626058164.1787186,1626058170.7270708
8,1|2|4|6|7|9,1|2|4|6|7|9,6,True,1626058179.2887855,1626058188.1372576
9,2|4|5|6|7|8,1|2|4|5|6|8,6,False,1626058196.696561,1626058204.265883
10,1|2|3|4|5|6|7,1|2|4|3|5|6|7,7,False,1626058213.8094916,1626058224.3045282
11,2|4|5|6|7|8|9,5|2|4|6|7|3|9,7,False,1626058233.8405714,1626058242.9421232
