trial_num,answere,response,clicks,correct,time_start,time_end
0,2|5,4|5,2,False,1626137279.372854,1626137288.4770503
1,6|7,6|7,2,True,1626137293.0607462,1626137296.733691
2,3|5|7,3|5|7,3,True,1626137302.3089433,1626137307.0304294
3,2|8|9,2|8|4,3,False,1626137312.6010003,1626137320.2772982
4,2|3|8|9,2|3|8|9,4,True,1626137326.8533611,1626137334.031024
5,1|4|6|8,1|4|6|8,4,True,1626137340.603761,1626137348.4955444
6,3|5|6|7|8,3|5|6|7|8,5,True,1626137356.043474,1626137363.6446376
7,2|4|5|7|8,5|4|2|7|8,5,False,1626137371.2044334,1626137378.3590226
8,1|3|4|6|8|9,1|4|6|3|8|9,6,False,1626137386.923292,1626137396.1752496
9,1|3|4|6|7|9,1|3|4|6|7|9,6,True,1626137404.7358198,1626137414.038416
10,1|2|4|5|6|8|9,5|2|4|8|6|9,6,False,1626137423.584132,1626137435.621866
11,1|2|3|4|5|6|8,1|5|3|6|8|2,6,False,1626137445.1685028,1626137455.1183565
