trial_num,answere,response,clicks,correct,time_start,time_end
0,2|3,2|3,2,True,1626135140.088434,1626135147.9028401
1,5|7,5|7,2,True,1626135152.4948971,1626135157.142263
2,4|5|8,4|5|8,3,True,1626135162.72934,1626135167.997525
3,3|4|9,3|4|9,3,True,1626135173.5917985,1626135179.126318
4,2|4|6|8,2|4|6|1,4,False,1626135185.6891534,1626135193.266137
5,3|5|6|7,3|5|6|7,4,True,1626135199.8281121,1626135208.1197906
6,1|3|4|7|9,1|3|4|7|9,5,True,1626135215.690517,1626135223.3101215
7,2|5|6|7|8,2|5|6|7|8,5,True,1626135230.8713737,1626135239.4307272
8,2|3|4|7|8|9,2|3|4|7|8|9,6,True,1626135247.9755836,1626135256.8710694
9,1|2|3|4|5|6,1|2|3|4|5|6,6,True,1626135265.4303043,1626135275.4473982
10,1|3|4|5|7|8|9,1|3|4|5|7|8|9,7,True,1626135284.99749,1626135294.8544781
11,1|3|4|5|6|8|9,1|3|4|5|6|8|9,7,True,1626135304.390614,1626135314.5426896
12,1|2|3|4|5|7|8|9,1|3|4|5|7|8|9,7,False,1626135325.078047,1626135335.4853299
13,1|2|3|4|5|6|7|8,1|3|4|9|8|6|7,7,False,1626135346.0176663,1626135358.6053903
