276486.509587,0.415293,0.376813,0.379374,0.200056,0.181242,0.144639,0.132150,0.110522,1.954462,1.656778,1.675019,0.957515,0.722425,0.606375,0.350421,0.328066,3.562325,2.813805,2.341772,1.863890,1.040123,1.599563,1.174470,0.956476,1.892042,1.729837,1.396643,1.598646,1.234346,1.893259,1.443424,1.036028,0.057962,0.057003,0.063512,0.067483,0.050723,0.062791,0.057342,0.048810
276486.519587,0.407717,0.368881,0.375777,0.196890,0.184689,0.146205,0.137174,0.106670,1.921328,1.621921,1.627674,0.938447,0.701025,0.585846,0.336720,0.308699,3.617170,2.851473,2.390398,1.845765,1.072551,1.567935,1.152538,0.959555,1.903049,1.762463,1.431747,1.606574,1.263599,1.924512,1.489820,1.075360,0.056399,0.054708,0.062885,0.068393,0.048096,0.064733,0.055281,0.048458
276486.529587,0.386406,0.362408,0.365312,0.202080,0.189165,0.152478,0.135244,0.105264,1.903311,1.588919,1.595019,0.905389,0.687629,0.545073,0.319518,0.296244,3.661737,2.887621,2.428635,1.816803,1.102562,1.523950,1.115837,0.954530,1.916436,1.792950,1.468160,1.610744,1.298725,1.962173,1.545355,1.120701,0.057219,0.054203,0.063541,0.065329,0.049374,0.061739,0.055308,0.047168
276486.539587,0.406120,0.345427,0.379871,0.189820,0.179800,0.152864,0.128163,0.108315,1.915740,1.569572,1.576661,0.884412,0.689240,0.524776,0.313395,0.297796,3.666974,2.914751,2.441319,1.773883,1.132357,1.464924,1.071265,0.935551,1.941136,1.827058,1.510355,1.615569,1.342097,2.007712,1.606546,1.175013,0.062189,0.054941,0.067451,0.063924,0.050080,0.061526,0.056067,0.048437
276486.549587,0.424505,0.364179,0.393436,0.192558,0.176644,0.143785,0.121656,0.107080,1.927393,1.575028,1.559774,0.879066,0.689883,0.510615,0.307775,0.300529,3.671712,2.908437,2.452971,1.721751,1.159241,1.399631,1.029993,0.912897,1.963900,1.873489,1.549334,1.626499,1.386789,2.056236,1.663162,1.238232,0.066797,0.058530,0.071080,0.064146,0.051910,0.062910,0.056777,0.048902
276486.559587,0.441513,0.381654,0.405985,0.195152,0.173747,0.135357,0.115638,0.105994,1.938173,1.580211,1.544154,0.874189,0.690492,0.497545,0.302577,0.303110,3.676095,2.902501,2.463749,1.673461,1.184129,1.339203,0.991816,0.891888,1.984957,1.916374,1.585389,1.636585,1.428129,2.101126,1.715532,1.296733,0.071059,0.061863,0.074436,0.064358,0.053597,0.064435,0.057433,0.049341
276486.569587,0.459042,0.397820,0.421234,0.197553,0.171069,0.127562,0.114147,0.104990,1.957877,1.585006,1.536367,0.869678,0.691055,0.485455,0.302597,0.305498,3.662798,2.897011,2.462421,1.628793,1.207149,1.283307,0.951432,0.872454,1.999822,1.956043,1.612040,1.645914,1.466368,2.142648,1.764991,1.350846,0.072614,0.064946,0.075747,0.064553,0.055158,0.065845,0.054696,0.049748
276486.634672,0.475249,0.413261,0.435345,0.199700,0.182989,0.124631,0.112778,0.099926,1.976104,1.595816,1.529166,0.868525,0.704843,0.482048,0.302616,0.304710,3.650487,2.878452,2.461197,1.580887,1.237555,1.227983,0.914089,0.856622,2.013573,1.991123,1.636691,1.655663,1.491341,2.177633,1.810728,1.406916,0.074062,0.065566,0.076952,0.062508,0.056312,0.062906,0.052226,0.047650
276486.644672,0.496393,0.427538,0.446591,0.201682,0.194068,0.125438,0.112497,0.095229,2.019299,1.605816,1.538407,0.867461,0.717646,0.478915,0.308268,0.303976,3.603596,2.861271,2.432156,1.536567,1.265671,1.176840,0.872893,0.841980,1.999688,2.023574,1.636173,1.664683,1.514413,2.209974,1.852295,1.458793,0.070671,0.066154,0.075439,0.060624,0.057337,0.060190,0.052607,0.046569
276486.654672,0.516071,0.445623,0.457064,0.206506,0.201474,0.119683,0.112269,0.089632,2.059406,1.636345,1.547075,0.873027,0.730192,0.478832,0.313530,0.301508,3.560173,2.817252,2.405232,1.485234,1.296441,1.124510,0.834791,0.872735,1.986747,2.031852,1.635626,1.667763,1.530990,2.235397,1.890709,1.510782,0.067908,0.063564,0.074121,0.060278,0.057670,0.059471,0.052980,0.048047
