trial_num,answere,response,clicks,correct,time_start,time_end
0,1|7,1|7,2,True,1626070271.2866325,1626070274.8019946
1,3|6,3|6,2,True,1626070279.392431,1626070282.5566216
2,1|6|9,1|6|9,3,True,1626070288.1473558,1626070292.1614563
3,1|4|6,1|4|6,3,True,1626070297.7637076,1626070301.8493855
4,5|6|8|9,5|6|8|9,4,True,1626070308.4001029,1626070313.3420088
5,1|2|3|6,1|2|3|6,4,True,1626070319.899865,1626070324.495183
6,1|3|5|6|9,1|3|5|6|9,5,True,1626070332.0571427,1626070338.5398824
7,1|2|3|6|8,1|2|3|6|8,5,True,1626070346.1361618,1626070351.7895231
8,1|2|3|4|5|9,1|2|3|5|4|9,6,False,1626070360.3740528,1626070367.6615498
9,1|4|5|7|8|9,1|4|7|5|8|9,6,False,1626070376.2654815,1626070384.9879084
