trial_num,answere,response,clicks,correct,time_start,time_end
0,5|6,5|6,2,True,1625457849.9907925,1625457852.1317506
1,4|6,4|6,2,True,1625457856.7087388,1625457859.5977654
2,6|8|9,6|8|9,3,True,1625457865.196961,1625457867.6447215
3,1|3|5,1|3|5,3,True,1625457873.26775,1625457875.7440693
4,3|5|6|9,1|5|6|9,4,False,1625457882.3617601,1625457886.1569502
5,1|3|5|8,1|3|5|8,4,True,1625457892.7677276,1625457897.0597289
6,1|3|4|8|9,3|1|4|8|9,5,False,1625457904.6616912,1625457908.2818174
7,2|3|4|5|6,2|3|4|5|6,5,True,1625457915.8286827,1625457922.0297275
8,3|4|6|7|8|9,3|6|7|8|9,5,False,1625457930.6247013,1625457936.6717575
9,2|3|4|5|7|8,2|3|5|7|8,5,False,1625457945.2451751,1625457950.9326766
